"clave","RFC","Numero","Fecha","Cantidad"
1140,GGGG800101,5005,1998-07-02,651
1150,HHHH800101,5004,2003-01-09,270
1160,AAAA800101,5019,2002-08-02,665
1170,BBBB800101,5018,2001-06-08,517
1180,CCCC800101,5017,2001-01-06,216
1190,DDDD800101,5016,2003-07-03,622
1200,EEEE800101,5015,2000-10-07,653
1210,FFFF800101,5014,2001-06-09,479
1220,GGGG800101,5013,2001-08-02,653
1230,HHHH800101,5012,1999-08-03,115
1240,AAAA800101,5011,2003-05-08,549
1250,BBBB800101,5010,1998-08-05,690
1260,CCCC800101,5009,2003-10-02,2
1270,DDDD800101,5008,2002-12-04,324
1280,EEEE800101,5007,2002-07-12,448
1290,FFFF800101,5006,1999-07-01,336
1300,GGGG800101,5005,2003-02-02,457
1310,HHHH800101,5019,2000-03-08,463
1320,AAAA800101,5018,1999-03-12,163
1330,BBBB800101,5017,1998-12-06,558
1340,CCCC800101,5016,1999-10-02,11
1350,DDDD800101,5015,1999-05-06,330
1360,EEEE800101,5014,2001-06-07,37
1370,FFFF800101,5013,2002-05-06,423
1380,GGGG800101,5012,2001-01-02,147
1390,HHHH800101,5011,2002-06-01,308
1400,AAAA800101,5010,2002-03-05,441
1410,BBBB800101,5009,2002-05-11,461
1420,CCCC800101,5008,2001-12-02,444
1430,DDDD800101,5007,2002-10-06,506
